wavelength,polarizability
597.8,-330.07099999999997
597.9,-330.29699999999997
598.0,-330.524
598.1,-330.75
598.2,-330.977
598.3,-331.20300000000003
598.4,-331.43
598.5,-331.657
598.6,-331.885
598.7,-332.11199999999997
598.8,-332.34
598.9,-332.56699999999995
599.0,-332.795
599.1,-333.024
599.2,-333.25199999999995
599.3,-333.48
599.4,-333.709
599.5,-333.93800000000005
599.6,-334.167
599.7,-334.39599999999996
599.8,-334.626
599.9,-334.855
600.0,-335.085
600.1,-335.315
600.2,-335.545
600.3,-335.775
600.4,-336.006
600.5,-336.236
600.6,-336.467
600.7,-336.69800000000004
600.8,-336.92900000000003
600.9,-337.16
601.0,-337.392
601.1,-337.624
601.2,-337.856
601.3,-338.088
601.4,-338.32
601.5,-338.55199999999996
601.6,-338.785
601.7,-339.01800000000003
601.8,-339.251
601.9,-339.48400000000004
602.0,-339.717
602.1,-339.95099999999996
602.2,-340.184
602.3,-340.418
602.4,-340.652
602.5,-340.88699999999994
602.6,-341.121
602.7,-341.356
602.8,-341.59
602.9,-341.825
603.0,-342.061
603.1,-342.296
603.2,-342.531
603.3,-342.767
603.4,-343.00300000000004
603.5,-343.23900000000003
603.6,-343.475
603.7,-343.712
603.8,-343.949
603.9,-344.185
604.0,-344.42199999999997
604.1,-344.66
604.2,-344.897
604.3,-345.135
604.4,-345.37199999999996
604.5,-345.61
604.6,-345.848
604.7,-346.087
604.8,-346.325
604.9,-346.564
605.0,-346.80300000000005
605.1,-347.042
605.2,-347.281
605.3,-347.52099999999996
605.4,-347.76
605.5,-348.0
605.6,-348.24
605.7,-348.481
605.8,-348.721
605.9,-348.962
606.0,-349.202
606.1,-349.44300000000004
606.2,-349.684
606.3,-349.926
606.4,-350.167
606.5,-350.409
606.6,-350.651
606.7,-350.89300000000003
606.8,-351.13599999999997
606.9,-351.37800000000004
607.0,-351.621
607.1,-351.86400000000003
607.2,-352.10699999999997
607.3,-352.35
607.4,-352.594
607.5,-352.837
607.6,-353.08099999999996
607.7,-353.325
607.8,-353.57
607.9,-353.814
608.0,-354.059
608.1,-354.30400000000003
608.2,-354.54900000000004
608.3,-354.79400000000004
608.4,-355.039
608.5,-355.285
608.6,-355.531
608.7,-355.777
608.8,-356.023
608.9,-356.269
609.0,-356.51599999999996
609.1,-356.76300000000003
609.2,-357.01
609.3,-357.25699999999995
609.4,-357.505
609.5,-357.75199999999995
609.6,-358.0
609.7,-358.24800000000005
609.8,-358.496
609.9,-358.745
610.0,-358.99300000000005
610.1,-359.24199999999996
610.2,-359.491
610.3,-359.74
610.4,-359.99
610.5,-360.23900000000003
610.6,-360.48900000000003
610.7,-360.73900000000003
610.8,-360.99
610.9,-361.24
611.0,-361.491
611.1,-361.741
611.2,-361.99199999999996
611.3,-362.244
611.4,-362.495
611.5,-362.74699999999996
611.6,-362.999
611.7,-363.251
611.8,-363.50300000000004
611.9,-363.756
612.0,-364.00800000000004
612.1,-364.26099999999997
612.2,-364.514
612.3,-364.767
612.4,-365.02099999999996
612.5,-365.275
612.6,-365.529
612.7,-365.783
612.8,-366.037
612.9,-366.292
613.0,-366.546
613.1,-366.801
613.2,-367.056
613.3,-367.31199999999995
613.4,-367.56699999999995
613.5,-367.82300000000004
613.6,-368.079
613.7,-368.335
613.8,-368.592
613.9,-368.848
614.0,-369.105
614.1,-369.36199999999997
614.2,-369.62
614.3,-369.87699999999995
614.4,-370.135
614.5,-370.39300000000003
614.6,-370.651
614.7,-370.909
614.8,-371.168
614.9,-371.426
615.0,-371.685
615.1,-371.944
615.2,-372.204
615.3,-372.463
615.4,-372.723
615.5,-372.983
615.6,-373.24300000000005
615.7,-373.504
615.8,-373.765
615.9,-374.025
616.0,-374.287
616.1,-374.548
616.2,-374.809
616.3,-375.07099999999997
616.4,-375.333
616.5,-375.595
616.6,-375.858
616.7,-376.12
616.8,-376.38300000000004
616.9,-376.64599999999996
617.0,-376.909
617.1,-377.173
617.2,-377.43699999999995
617.3,-377.70099999999996
617.4,-377.965
617.5,-378.22900000000004
617.6,-378.494
617.7,-378.75800000000004
617.8,-379.024
617.9,-379.289
618.0,-379.55400000000003
618.1,-379.82
618.2,-380.086
618.3,-380.352
618.4,-380.61800000000005
618.5,-380.885
618.6,-381.152
618.7,-381.41900000000004
618.8,-381.686
618.9,-381.95300000000003
619.0,-382.221
619.1,-382.48900000000003
619.2,-382.75699999999995
619.3,-383.026
619.4,-383.29400000000004
619.5,-383.56300000000005
619.6,-383.832
619.7,-384.101
619.8,-384.371
