wavelength,polarizability
1290.0,-2379.7470000000003

1291.0,-2599.498

1293.0,-3287.349

1293.8,-3735.473

1295.0,-4824.6720000000005

1304.5,1180.862

1305.5,902.0849999999999

1297.0,-11444.074999999999

1298.0,-63002.647

1299.0,15248.252

1309.5,281.93600000000015

1310.5,190.49399999999991

1302.0,2520.7059999999997

1303.0,1817.162

1304.0,1356.3600000000004

1314.5,-60.216999999999985

1315.5,-103.90700000000004

1316.5,-142.41199999999992

1317.5,-176.49599999999998

1309.0,334.1279999999998

1319.5,-233.72700000000003

1320.5,-257.77399999999994

1321.5,-279.24299999999994

1313.0,17.230000000000018

1314.0,-36.13400000000013

1324.5,-330.71599999999995

1325.5,-344.21100000000007

1318.0,-192.07500000000005

1319.0,-220.63499999999993

1320.0,-246.09199999999993

1329.5,-383.46199999999993

1330.5,-390.0570000000001

1331.5,-395.504

1323.0,-307.202

1324.0,-323.33299999999997

1334.5,-405.468

1335.5,-406.80899999999997

1327.0,-361.5269999999999

1328.0,-371.2829999999999

1329.0,-379.717

1339.5,-403.35299999999995

1331.0,-392.9199999999999

1341.5,-397.096

1342.5,-393.14200000000005

1334.0,-404.43899999999996

1335.0,-406.25600000000003

1345.5,-380.28700000000003

1346.5,-376.86899999999997

1338.0,-406.2029999999999

1339.0,-404.49399999999997

1340.0,-402.031

1343.0,-391.02399999999994

1344.0,-386.6410000000001

1345.0,-382.31000000000006

1346.0,-378.44499999999994

1347.0,-375.66099999999994

1355.5,-1135.011

1355.4,-1075.191

1355.9,-1455.885

1356.5,-2448.826

1350.0,-386.031

1351.0,-404.17199999999997

1352.0,-438.94500000000005

1353.0,-503.791

1356.0,-1564.636

1364.7,1916.2210000000002

1365.7,2146.864

1366.7,2449.7380000000003

1367.7,2843.4559999999997

1368.7,3359.2560000000003

1369.7,4049.339

1370.7,5004.885

1371.7,6398.250999999999

1372.7,8596.663

1373.9,13737.836000000001

1373.7,12543.052000000001

1374.7,21605.855999999996

1375.7,63399.076

1376.7,-83116.45300000001

1377.7,-26777.665999999997

1378.7,-16565.190000000002

1379.7,-12302.376

1380.7,-9973.531

1381.7,-8513.518

1382.7,-7518.457

1383.7,-6801.589000000001

1384.7,-6264.722

1385.7,-5851.351000000001

1386.7,-5526.717

1387.7,-5268.311999999999

1388.7,-5060.983

1389.7,-4894.205

1390.2,-4823.6

1390.7,-4760.509999999999

1391.7,-4654.517

1392.7,-4572.329

1393.7,-4511.146

1394.7,-4469.011

1395.7,-4444.651

1396.7,-4437.375

1397.7,-4447.031999999999

1398.7,-4473.999

1399.7,-4519.219999999999

1400.2,-4549.146

1400.7,-4584.294

1401.7,-4671.6140000000005

1402.7,-4784.615

1403.7,-4928.13

1404.7,-5108.982

1408.7,-6487.336

1409.7,-7149.522

1410.7,-8086.198

1405.2,-5216.305

1405.7,-5336.923999999999

1413.7,-16507.537

1406.7,-5626.217

1411.7,-9498.525

1407.7,-5998.387

1408.0,-6130.8060000000005

1418.6,8309.009999999998

1410.0,-7395.254000000001

1411.0,-8446.375

1412.0,-10071.453

1413.0,-12891.918999999998

1414.0,-18940.258

1418.0,11090.159

1425.9,901.701

1426.9,649.1909999999999

1427.9,439.2210000000001

1428.6,312.17599999999993

1428.9,261.97900000000004

1429.9,110.43500000000006

1430.4,42.62900000000002

1430.9,-20.577999999999975

1429.6,153.53600000000006

