wavelength,polarizability
565.5,-265.107
565.6,-265.286
565.7,-265.465
565.8,-265.645
565.9,-265.824
566,-266.004
566.1,-266.184
566.2,-266.364
566.3,-266.544
566.4,-266.724
566.5,-266.904
566.6,-267.085
566.7,-267.265
566.8,-267.446
566.9,-267.627
567,-267.808
567.1,-267.989
567.2,-268.17
567.3,-268.351
567.4,-268.533
567.5,-268.714
567.6,-268.896
567.7,-269.078
567.8,-269.26
567.9,-269.442
568,-269.624
568.1,-269.806
568.2,-269.988
568.3,-270.171
568.4,-270.354
568.5,-270.536
568.6,-270.719
568.7,-270.902
568.8,-271.085
568.9,-271.269
569,-271.452
569.1,-271.636
569.2,-271.819
569.3,-272.003
569.4,-272.187
569.5,-272.371
569.6,-272.555
569.7,-272.739
569.8,-272.924
569.9,-273.108
570,-273.293
570.1,-273.478
570.2,-273.662
570.3,-273.847
570.4,-274.033
570.5,-274.218
570.6,-274.403
570.7,-274.589
570.8,-274.774
570.9,-274.96
571,-275.146
571.1,-275.332
571.2,-275.518
571.3,-275.705
571.4,-275.891
571.5,-276.078
571.6,-276.264
571.7,-276.451
571.8,-276.638
571.9,-276.825
572,-277.012
572.1,-277.2
572.2,-277.387
572.3,-277.575
572.4,-277.762
572.5,-277.95
572.6,-278.138
572.7,-278.326
572.8,-278.514
572.9,-278.703
573,-278.891
573.1,-279.08
573.2,-279.269
573.3,-279.458
573.4,-279.647
573.5,-279.836
573.6,-280.025
573.7,-280.214
573.8,-280.404
573.9,-280.594
574,-280.783
574.1,-280.973
574.2,-281.163
574.3,-281.354
574.4,-281.544
574.5,-281.734
574.6,-281.925
574.7,-282.116
574.8,-282.307
574.9,-282.498
575,-282.689
575.1,-282.88
575.2,-283.071
575.3,-283.263
575.4,-283.455
575.5,-283.646
575.6,-283.838
575.7,-284.03
575.8,-284.222
575.9,-284.415
576,-284.607
576.1,-284.8
576.2,-284.993
576.3,-285.186
576.4,-285.379
576.5,-285.572
576.6,-285.765
576.7,-285.958
576.8,-286.152
576.9,-286.346
577,-286.539
577.1,-286.733
577.2,-286.927
577.3,-287.122
577.4,-287.316
577.5,-287.511
577.6,-287.705
577.7,-287.9
577.8,-288.095
577.9,-288.29
578,-288.485
578.1,-288.681
578.2,-288.876
578.3,-289.072
578.4,-289.267
578.5,-289.463
578.6,-289.659
578.7,-289.855
578.8,-290.052
578.9,-290.248
579,-290.445
579.1,-290.642
579.2,-290.838
579.3,-291.035
579.4,-291.233
579.5,-291.43
579.6,-291.627
579.7,-291.825
579.8,-292.023
579.9,-292.22
580,-292.418
580.1,-292.616
580.2,-292.815
580.3,-293.013
580.4,-293.212
580.5,-293.41
580.6,-293.609
580.7,-293.808
580.8,-294.007
580.9,-294.207
581,-294.406
581.1,-294.606
581.2,-294.805
581.3,-295.005
581.4,-295.205
581.5,-295.405
581.6,-295.606
581.7,-295.806
581.8,-296.006
581.9,-296.207
582,-296.408
582.1,-296.609
582.2,-296.81
582.3,-297.011
582.4,-297.213
582.5,-297.414
582.6,-297.616
582.7,-297.818
582.8,-298.02
582.9,-298.222
583,-298.424
583.1,-298.627
583.2,-298.83
583.3,-299.032
583.4,-299.235
583.5,-299.438
583.6,-299.641
583.7,-299.845
583.8,-300.048
583.9,-300.252
584,-300.456
584.1,-300.659
584.2,-300.864
584.3,-301.068
584.4,-301.272
584.5,-301.477
584.6,-301.681
584.7,-301.886
584.8,-302.091
584.9,-302.296
585,-302.501
585.1,-302.707
585.2,-302.912
585.3,-303.118
585.4,-303.324
585.5,-303.53
585.6,-303.736
585.7,-303.942
585.8,-304.149
585.9,-304.355
586,-304.562
586.1,-304.769
586.2,-304.976
586.3,-305.183
586.4,-305.391
586.5,-305.598
586.6,-305.806
586.7,-306.014
586.8,-306.222
586.9,-306.43
587,-306.638
587.1,-306.847
587.2,-307.055
587.3,-307.264
587.4,-307.473
587.5,-307.682
587.6,-307.891
587.7,-308.1
587.8,-308.31
587.9,-308.52
588,-308.729
588.1,-308.939
588.2,-309.149
588.3,-309.36
588.4,-309.57
588.5,-309.781
588.6,-309.992
588.7,-310.202
588.8,-310.413
588.9,-310.625
589,-310.836
589.1,-311.048
589.2,-311.259
589.3,-311.471
589.4,-311.683
589.5,-311.895
589.6,-312.108
589.7,-312.32
589.8,-312.533
589.9,-312.746
590,-312.958
590.1,-313.172
590.2,-313.385
590.3,-313.598
590.4,-313.812
590.5,-314.026
590.6,-314.24
590.7,-314.454
590.8,-314.668
590.9,-314.882
591,-315.097
591.1,-315.311
591.2,-315.526
591.3,-315.741
591.4,-315.956
591.5,-316.172
591.6,-316.387
591.7,-316.603
591.8,-316.819
591.9,-317.035
592,-317.251
592.1,-317.467
592.2,-317.684
592.3,-317.9
592.4,-318.117
592.5,-318.334
592.6,-318.551
592.7,-318.769
592.8,-318.986
592.9,-319.204
593,-319.421
593.1,-319.639
593.2,-319.857
593.3,-320.076
593.4,-320.294
593.5,-320.513
593.6,-320.732
593.7,-320.95
593.8,-321.17
593.9,-321.389
594,-321.608
594.1,-321.828
594.2,-322.048
594.3,-322.268
594.4,-322.488
594.5,-322.708
594.6,-322.928
594.7,-323.149
594.8,-323.37
594.9,-323.591
595,-323.812
595.1,-324.033
595.2,-324.254
595.3,-324.476
595.4,-324.698
595.5,-324.92
595.6,-325.142
595.7,-325.364
595.8,-325.587
595.9,-325.809
596,-326.032
596.1,-326.255
596.2,-326.478
596.3,-326.701
596.4,-326.925
596.5,-327.148
596.6,-327.372
596.7,-327.596
596.8,-327.82
596.9,-328.045
597,-328.269
597.1,-328.494
597.2,-328.719
597.3,-328.944
597.4,-329.169
597.5,-329.394
597.6,-329.62
597.7,-329.845
597.8,-330.071
597.9,-330.297
598,-330.524
598.1,-330.75
598.2,-330.977
598.3,-331.203
598.4,-331.43
598.5,-331.657
598.6,-331.885
598.7,-332.112
598.8,-332.34
598.9,-332.567
599,-332.795
599.1,-333.024
599.2,-333.252
599.3,-333.48
599.4,-333.709
599.5,-333.938
599.6,-334.167
599.7,-334.396
599.8,-334.626
599.9,-334.855
600,-335.085
600.1,-335.315
600.2,-335.545
600.3,-335.775
600.4,-336.006
600.5,-336.236
600.6,-336.467
600.7,-336.698
600.8,-336.929
600.9,-337.16
601,-337.392
601.1,-337.624
601.2,-337.856
601.3,-338.088
601.4,-338.32
601.5,-338.552
601.6,-338.785
601.7,-339.018
601.8,-339.251
601.9,-339.484
602,-339.717
602.1,-339.951
602.2,-340.184
