wavelength             alpha(7p1/2)         Uncertainty
1104.31000              -821.24               123.74
1104.32000              -822.00               123.84
1104.33000              -822.76               123.94
1104.34000              -823.52               124.04
1104.35000              -824.28               124.14
1104.36000              -825.05               124.24
1104.37000              -825.81               124.34
1104.38000              -826.58               124.44
1104.39000              -827.35               124.54
1104.40000              -828.12               124.64
1104.41000              -828.89               124.74
1104.42000              -829.66               124.84
1104.43000              -830.43               124.94
1104.44000              -831.21               125.05
1104.45000              -831.99               125.15
1104.46000              -832.77               125.25
1104.47000              -833.55               125.36
1104.48000              -834.33               125.46
1104.49000              -835.12               125.57
1104.50000              -835.90               125.67
1104.51000              -836.69               125.78
1104.52000              -837.48               125.88
1104.53000              -838.27               125.99
1104.54000              -839.06               126.09
1104.55000              -839.86               126.20
1104.56000              -840.66               126.31
1104.57000              -841.45               126.41
1104.58000              -842.25               126.52
1104.59000              -843.06               126.63
1104.60000              -843.86               126.74
1104.61000              -844.66               126.84
1104.62000              -845.47               126.95
1104.63000              -846.28               127.06
1104.64000              -847.09               127.17
1104.65000              -847.90               127.28
1104.66000              -848.72               127.39
1104.67000              -849.53               127.50
1104.68000              -850.35               127.61
1104.69000              -851.17               127.72
1104.70000              -851.99               127.84
1104.71000              -852.81               127.95
1104.72000              -853.64               128.06
1104.73000              -854.47               128.17
1104.74000              -855.29               128.29
1104.75000              -856.12               128.40
1104.76000              -856.96               128.51
1104.77000              -857.79               128.63
1104.78000              -858.63               128.74
1104.79000              -859.47               128.86
1104.80000              -860.31               128.97
1104.81000              -861.15               129.09
1104.82000              -861.99               129.20
1104.83000              -862.84               129.32
1104.84000              -863.68               129.44
1104.85000              -864.53               129.55
1104.86000              -865.39               129.67
1104.87000              -866.24               129.79
1104.88000              -867.09               129.91
1104.89000              -867.95               130.03
1104.90000              -868.81               130.15
1104.91000              -869.67               130.27
1104.92000              -870.54               130.39
1104.93000              -871.40               130.51
1104.94000              -872.27               130.63
1104.95000              -873.14               130.75
1104.96000              -874.01               130.87
1104.97000              -874.88               130.99
1104.98000              -875.76               131.11
1104.99000              -876.64               131.24
1105.00000              -877.52               131.36
1105.01000              -878.40               131.48
1105.02000              -879.28               131.61
1105.03000              -880.17               131.73
1105.04000              -881.06               131.86
1105.05000              -881.95               131.98
1105.06000              -882.84               132.11
1105.07000              -883.73               132.23
1105.08000              -884.63               132.36
1105.09000              -885.53               132.49
1105.10000              -886.43               132.61
1105.11000              -887.33               132.74
1105.12000              -888.24               132.87
1105.13000              -889.14               133.00
1105.14000              -890.05               133.13
1105.15000              -890.97               133.26
1105.16000              -891.88               133.39
1105.17000              -892.80               133.52
1105.18000              -893.71               133.65
1105.19000              -894.63               133.78
1105.20000              -895.56               133.91
1105.21000              -896.48               134.04
1105.22000              -897.41               134.18
1105.23000              -898.34               134.31
1105.24000              -899.27               134.44
1105.25000              -900.21               134.58
1105.26000              -901.14               134.71
1105.27000              -902.08               134.85
1105.28000              -903.02               134.98
1105.29000              -903.97               135.12
1105.30000              -904.92               135.25
1105.31000              -905.86               135.39
1105.32000              -906.81               135.53
1105.33000              -907.77               135.67
1105.34000              -908.72               135.80
1105.35000              -909.68               135.94
1105.36000              -910.64               136.08
1105.37000              -911.61               136.22
1105.38000              -912.57               136.36
1105.39000              -913.54               136.50
1105.40000              -914.51               136.64
1105.41000              -915.48               136.79
1105.42000              -916.46               136.93
1105.43000              -917.44               137.07
1105.44000              -918.42               137.21
1105.45000              -919.40               137.36
1105.46000              -920.38               137.50
1105.47000              -921.37               137.65
1105.48000              -922.36               137.79
1105.49000              -923.36               137.94
1105.50000              -924.35               138.08
1105.51000              -925.35               138.23
1105.52000              -926.35               138.38
1105.53000              -927.36               138.52
1105.54000              -928.36               138.67
1105.55000              -929.37               138.82
1105.56000              -930.38               138.97
1105.57000              -931.40               139.12
1105.58000              -932.41               139.27
1105.59000              -933.43               139.42
1105.60000              -934.46               139.57
1105.61000              -935.48               139.73
1105.62000              -936.51               139.88
1105.63000              -937.54               140.03
1105.64000              -938.57               140.19
1105.65000              -939.61               140.34
1105.66000              -940.65               140.49
1105.67000              -941.69               140.65
1105.68000              -942.73               140.81
1105.69000              -943.78               140.96
1105.70000              -944.83               141.12
1105.71000              -945.89               141.28
1105.72000              -946.94               141.43
1105.73000              -948.00               141.59
1105.74000              -949.06               141.75
1105.75000              -950.13               141.91
1105.76000              -951.19               142.07
1105.77000              -952.26               142.23
1105.78000              -953.34               142.39
1105.79000              -954.41               142.56
1105.80000              -955.49               142.72
1105.81000              -956.58               142.88
1105.82000              -957.66               143.05
1105.83000              -958.75               143.21
1105.84000              -959.84               143.38
1105.85000              -960.94               143.54
1105.86000              -962.03               143.71
1105.87000              -963.13               143.88
1105.88000              -964.24               144.04
1105.89000              -965.35               144.21
1105.90000              -966.46               144.38
1105.91000              -967.57               144.55
1105.92000              -968.68               144.72
1105.93000              -969.80               144.89
1105.94000              -970.93               145.06
1105.95000              -972.05               145.23
1105.96000              -973.18               145.41
1105.97000              -974.31               145.58
1105.98000              -975.45               145.75
1105.99000              -976.59               145.93
1106.00000              -977.73               146.10
1106.01000              -978.88               146.28
1106.02000              -980.03               146.46
1106.03000              -981.18               146.63
1106.04000              -982.33               146.81
1106.05000              -983.49               146.99
1106.06000              -984.66               147.17
1106.07000              -985.82               147.35
1106.08000              -986.99               147.53
1106.09000              -988.16               147.71
1106.10000              -989.34               147.89
1106.11000              -990.52               148.07
1106.12000              -991.70               148.26
1106.13000              -992.89               148.44
1106.14000              -994.08               148.63
1106.15000              -995.27               148.81
1106.16000              -996.47               149.00
1106.17000              -997.67               149.18
1106.18000              -998.87               149.37
