wavelength             alpha(7p1/2)         Uncertainty
1371.43000              6619.66              2897.31
1371.44000              6634.86              2903.36
1371.45000              6650.13              2909.43
1371.46000              6665.47              2915.53
1371.47000              6680.87              2921.65
1371.48000              6696.33              2927.80
1371.49000              6711.87              2933.97
1371.50000              6727.47              2940.17
1371.51000              6743.13              2946.40
1371.52000              6758.87              2952.65
1371.53000              6774.67              2958.93
1371.54000              6790.55              2965.23
1371.55000              6806.49              2971.57
1371.56000              6822.50              2977.93
1371.57000              6838.58              2984.31
1371.58000              6854.73              2990.73
1371.59000              6870.95              2997.17
1371.60000              6887.25              3003.64
1371.61000              6903.61              3010.13
1371.62000              6920.05              3016.66
1371.63000              6936.56              3023.21
1371.64000              6953.14              3029.79
1371.65000              6969.80              3036.40
1371.66000              6986.53              3043.04
1371.67000              7003.34              3049.71
1371.68000              7020.22              3056.40
1371.69000              7037.18              3063.13
1371.70000              7054.21              3069.89
1371.71000              7071.32              3076.67
1371.72000              7088.51              3083.49
1371.73000              7105.77              3090.33
1371.74000              7123.12              3097.21
1371.75000              7140.54              3104.11
1371.76000              7158.04              3111.05
1371.77000              7175.62              3118.02
1371.78000              7193.28              3125.02
1371.79000              7211.02              3132.05
1371.80000              7228.84              3139.11
1371.81000              7246.75              3146.20
1371.82000              7264.74              3153.33
1371.83000              7282.81              3160.49
1371.84000              7300.96              3167.68
1371.85000              7319.20              3174.90
1371.86000              7337.52              3182.16
1371.87000              7355.93              3189.44
1371.88000              7374.42              3196.77
1371.89000              7393.00              3204.12
1371.90000              7411.67              3211.51
1371.91000              7430.42              3218.94
1371.92000              7449.27              3226.39
1371.93000              7468.20              3233.89
1371.94000              7487.22              3241.41
1371.95000              7506.33              3248.97
1371.96000              7525.53              3256.57
1371.97000              7544.83              3264.20
1371.98000              7564.21              3271.87
1371.99000              7583.69              3279.58
1372.00000              7603.26              3287.32
1372.01000              7622.93              3295.09
1372.02000              7642.69              3302.91
1372.03000              7662.54              3310.76
1372.04000              7682.50              3318.65
1372.05000              7702.54              3326.57
1372.06000              7722.69              3334.54
1372.07000              7742.93              3342.54
1372.08000              7763.28              3350.58
1372.09000              7783.72              3358.65
1372.10000              7804.26              3366.77
1372.11000              7824.90              3374.93
1372.12000              7845.65              3383.12
1372.13000              7866.49              3391.36
1372.14000              7887.44              3399.63
1372.15000              7908.50              3407.95
1372.16000              7929.66              3416.31
1372.17000              7950.92              3424.70
1372.18000              7972.29              3433.14
1372.19000              7993.77              3441.62
1372.20000              8015.35              3450.14
1372.21000              8037.04              3458.71
1372.22000              8058.85              3467.31
1372.23000              8080.76              3475.96
1372.24000              8102.78              3484.66
1372.25000              8124.92              3493.39
1372.26000              8147.17              3502.17
1372.27000              8169.53              3510.99
1372.28000              8192.00              3519.86
1372.29000              8214.59              3528.77
1372.30000              8237.30              3537.73
1372.31000              8260.13              3546.74
1372.32000              8283.07              3555.78
1372.33000              8306.13              3564.88
1372.34000              8329.31              3574.02
1372.35000              8352.61              3583.21
1372.36000              8376.03              3592.44
1372.37000              8399.58              3601.73
1372.38000              8423.25              3611.06
1372.39000              8447.04              3620.44
1372.40000              8470.96              3629.86
1372.41000              8495.00              3639.34
1372.42000              8519.17              3648.87
1372.43000              8543.47              3658.44
1372.44000              8567.90              3668.07
1372.45000              8592.46              3677.75
1372.46000              8617.15              3687.47
1372.47000              8641.97              3697.25
1372.48000              8666.93              3707.08
1372.49000              8692.02              3716.97
1372.50000              8717.25              3726.90
1372.51000              8742.61              3736.89
1372.52000              8768.11              3746.93
1372.53000              8793.75              3757.03
1372.54000              8819.53              3767.18
1372.55000              8845.45              3777.39
1372.56000              8871.52              3787.65
1372.57000              8897.72              3797.96
1372.58000              8924.07              3808.34
1372.59000              8950.57              3818.76
1372.60000              8977.21              3829.25
1372.61000              9004.00              3839.79
1372.62000              9030.95              3850.40
1372.63000              9058.04              3861.06
1372.64000              9085.28              3871.77
1372.65000              9112.68              3882.55
1372.66000              9140.23              3893.39
1372.67000              9167.93              3904.29
1372.68000              9195.80              3915.25
1372.69000              9223.82              3926.27
1372.70000              9252.00              3937.35
1372.71000              9280.34              3948.50
1372.72000              9308.85              3959.71
1372.73000              9337.52              3970.98
1372.74000              9366.35              3982.32
1372.75000              9395.35              3993.72
1372.76000              9424.52              4005.19
1372.77000              9453.86              4016.72
1372.78000              9483.37              4028.32
1372.79000              9513.05              4039.98
1372.80000              9542.90              4051.72
1372.81000              9572.93              4063.52
1372.82000              9603.14              4075.39
1372.83000              9633.52              4087.33
1372.84000              9664.09              4099.34
1372.85000              9694.84              4111.42
1372.86000              9725.77              4123.57
1372.87000              9756.88              4135.79
1372.88000              9788.18              4148.08
1372.89000              9819.67              4160.45
1372.90000              9851.35              4172.89
1372.91000              9883.22              4185.41
1372.92000              9915.29              4198.00
1372.93000              9947.54              4210.67
1372.94000              9980.00              4223.41
1372.95000             10012.65              4236.23
1372.96000             10045.51              4249.13
1372.97000             10078.57              4262.11
1372.98000             10111.83              4275.16
1372.99000             10145.29              4288.30
1373.00000             10178.97              4301.52
1373.01000             10212.85              4314.82
1373.02000             10246.95              4328.20
1373.03000             10281.25              4341.66
1373.04000             10315.78              4355.21
1373.05000             10350.52              4368.84
1373.06000             10385.48              4382.55
1373.07000             10420.67              4396.36
1373.08000             10456.07              4410.25
1373.09000             10491.71              4424.23
1373.10000             10527.57              4438.29
1373.11000             10563.66              4452.45
1373.12000             10599.98              4466.69
1373.13000             10636.54              4481.03
1373.14000             10673.34              4495.46
1373.15000             10710.37              4509.98
1373.16000             10747.65              4524.60
1373.17000             10785.17              4539.31
1373.18000             10822.93              4554.11
1373.19000             10860.95              4569.02
1373.20000             10899.22              4584.02
1373.21000             10937.74              4599.12
1373.22000             10976.51              4614.32
1373.23000             11015.55              4629.61
1373.24000             11054.84              4645.02
1373.25000             11094.40              4660.52
1373.26000             11134.23              4676.12
1373.27000             11174.32              4691.84
1373.28000             11214.69              4707.65
1373.29000             11255.33              4723.58
1373.30000             11296.25              4739.61
1373.31000             11337.45              4755.75
1373.32000             11378.93              4772.00
1373.33000             11420.69              4788.36
1373.34000             11462.75              4804.83
1373.35000             11505.10              4821.42
1373.36000             11547.74              4838.12
1373.37000             11590.68              4854.93
1373.38000             11633.93              4871.87
1373.39000             11677.47              4888.92
1373.40000             11721.33              4906.09
1373.41000             11765.49              4923.38
1373.42000             11809.97              4940.80
1373.43000             11854.76              4958.33
1373.44000             11899.88              4976.00
1373.45000             11945.32              4993.78
1373.46000             11991.09              5011.70
1373.47000             12037.19              5029.74
1373.48000             12083.62              5047.92
1373.49000             12130.39              5066.22
1373.50000             12177.51              5084.66
1373.51000             12224.97              5103.23
1373.52000             12272.78              5121.94
1373.53000             12320.94              5140.78
1373.54000             12369.46              5159.77
1373.55000             12418.34              5178.89
1373.56000             12467.58              5198.16
1373.57000             12517.20              5217.57
1373.58000             12567.19              5237.12
1373.59000             12617.55              5256.83
1373.60000             12668.30              5276.67
1373.61000             12719.44              5296.67
1373.62000             12770.96              5316.83
1373.63000             12822.88              5337.13
1373.64000             12875.20              5357.59
1373.65000             12927.92              5378.21
1373.66000             12981.06              5398.99
1373.67000             13034.60              5419.92
1373.68000             13088.57              5441.02
1373.69000             13142.95              5462.29
1373.70000             13197.77              5483.72
1373.71000             13253.02              5505.32
1373.72000             13308.71              5527.09
1373.73000             13364.84              5549.03
1373.74000             13421.42              5571.14
1373.75000             13478.46              5593.44
1373.76000             13535.95              5615.91
1373.77000             13593.91              5638.56
1373.78000             13652.34              5661.39
1373.79000             13711.25              5684.42
1373.80000             13770.64              5707.62
1373.81000             13830.52              5731.02
1373.82000             13890.89              5754.61
1373.83000             13951.76              5778.39
1373.84000             14013.14              5802.38
1373.85000             14075.04              5826.56
1373.86000             14137.45              5850.94
1373.87000             14200.39              5875.52
1373.88000             14263.86              5900.32
1373.89000             14327.87              5925.32
1373.90000             14392.43              5950.54
1373.91000             14457.54              5975.97
1373.92000             14523.21              6001.62
1373.93000             14589.45              6027.49
1373.94000             14656.27              6053.58
1373.95000             14723.66              6079.90
1373.96000             14791.65              6106.44
1373.97000             14860.23              6133.22
1373.98000             14929.42              6160.24
1373.99000             14999.23              6187.49
1374.00000             15069.65              6214.99
1374.01000             15140.71              6242.73
1374.02000             15212.40              6270.72
1374.03000             15284.75              6298.96
1374.04000             15357.74              6327.46
1374.05000             15431.41              6356.21
1374.06000             15505.74              6385.22
1374.07000             15580.76              6414.51
1374.08000             15656.48              6444.06
1374.09000             15732.89              6473.88
1374.10000             15810.02              6503.98
1374.11000             15887.87              6534.36
1374.12000             15966.45              6565.02
1374.13000             16045.77              6595.98
1374.14000             16125.85              6627.22
1374.15000             16206.69              6658.76
1374.16000             16288.30              6690.61
1374.17000             16370.70              6722.76
1374.18000             16453.90              6755.22
1374.19000             16537.91              6787.99
1374.20000             16622.74              6821.08
1374.21000             16708.40              6854.50
1374.22000             16794.90              6888.24
1374.23000             16882.26              6922.32
1374.24000             16970.50              6956.73
1374.25000             17059.61              6991.49
1374.26000             17149.62              7026.60
1374.27000             17240.55              7062.06
1374.28000             17332.39              7097.88
1374.29000             17425.17              7134.06
1374.30000             17518.91              7170.61
1374.31000             17613.61              7207.54
1374.32000             17709.30              7244.85
1374.33000             17805.98              7282.55
1374.34000             17903.67              7320.64
1374.35000             18002.40              7359.13
1374.36000             18102.17              7398.03
1374.37000             18203.00              7437.34
1374.38000             18304.90              7477.07
1374.39000             18407.91              7517.23
1374.40000             18512.03              7557.81
1374.41000             18617.28              7598.84
1374.42000             18723.68              7640.32
1374.43000             18831.25              7682.25
1374.44000             18940.01              7724.64
1374.45000             19049.97              7767.50
1374.46000             19161.17              7810.84
1374.47000             19273.61              7854.66
1374.48000             19387.32              7898.98
1374.49000             19502.33              7943.79
1374.50000             19618.65              7989.12
1374.51000             19736.31              8034.97
1374.52000             19855.32              8081.35
1374.53000             19975.72              8128.26
1374.54000             20097.53              8175.72
1374.55000             20220.76              8223.74
1374.56000             20345.46              8272.33
1374.57000             20471.64              8321.49
1374.58000             20599.33              8371.23
1374.59000             20728.55              8421.58
1374.60000             20859.34              8472.53
1374.61000             20991.73              8524.10
1374.62000             21125.73              8576.30
1374.63000             21261.39              8629.15
1374.64000             21398.74              8682.65
1374.65000             21537.79              8736.81
1374.66000             21678.60              8791.66
1374.67000             21821.18              8847.19
1374.68000             21965.58              8903.43
1374.69000             22111.83              8960.39
1374.70000             22259.96              9018.08
1374.71000             22410.01              9076.52
1374.72000             22562.02              9135.72
1374.73000             22716.03              9195.69
1374.74000             22872.07              9256.46
1374.75000             23030.19              9318.03
1374.76000             23190.43              9380.43
1374.77000             23352.83              9443.66
1374.78000             23517.44              9507.76
1374.79000             23684.30              9572.72
1374.80000             23853.45              9638.58
1374.81000             24024.95              9705.36
1374.82000             24198.84              9773.06
1374.83000             24375.18              9841.71
1374.84000             24554.01              9911.33
1374.85000             24735.39              9981.94
1374.86000             24919.37             10053.56
1374.87000             25106.02             10126.22
1374.88000             25295.38             10199.93
1374.89000             25487.52             10274.73
1374.90000             25682.50             10350.62
1374.91000             25880.38             10427.65
1374.92000             26081.23             10505.82
1374.93000             26285.12             10585.18
1374.94000             26492.11             10665.74
1374.95000             26702.27             10747.54
1374.96000             26915.68             10830.60
1374.97000             27132.42             10914.95
1374.98000             27352.56             11000.62
1374.99000             27576.19             11087.65
1375.00000             27803.38             11176.06
1375.01000             28034.22             11265.90
1375.02000             28268.81             11357.18
1375.03000             28507.22             11449.96
1375.04000             28749.57             11544.26
1375.05000             28995.94             11640.13
1375.06000             29246.44             11737.60
1375.07000             29501.17             11836.71
1375.08000             29760.23             11937.51
1375.09000             30023.75             12040.04
1375.10000             30291.83             12144.35
1375.11000             30564.60             12250.47
1375.12000             30842.17             12358.46
1375.13000             31124.69             12468.37
1375.14000             31412.27             12580.26
1375.15000             31705.06             12694.16
1375.16000             32003.20             12810.14
1375.17000             32306.84             12928.27
1375.18000             32616.13             13048.58
1375.19000             32931.23             13171.16
1375.20000             33252.30             13296.05
1375.21000             33579.53             13423.34
1375.22000             33913.07             13553.08
1375.23000             34253.13             13685.35
1375.24000             34599.89             13820.23
1375.25000             34953.55             13957.79
1375.26000             35314.32             14098.11
1375.27000             35682.41             14241.28
1375.28000             36058.06             14387.38
1375.29000             36441.49             14536.51
1375.30000             36832.96             14688.76
1375.31000             37232.70             14844.23
1375.32000             37641.00             15003.02
1375.33000             38058.13             15165.24
1375.34000             38484.38             15331.01
1375.35000             38920.04             15500.43
1375.36000             39365.44             15673.64
1375.37000             39820.90             15850.76
1375.38000             40286.77             16031.92
1375.39000             40763.41             16217.27
1375.40000             41251.19             16406.95
1375.41000             41750.52             16601.12
1375.42000             42261.81             16799.93
1375.43000             42785.49             17003.56
1375.44000             43322.01             17212.18
1375.45000             43871.86             17425.98
1375.46000             44435.53             17645.15
1375.47000             45013.57             17869.90
1375.48000             45606.51             18100.44
1375.49000             46214.94             18337.00
1375.50000             46839.49             18579.83
1375.51000             47480.79             18829.17
1375.52000             48139.54             19085.28
1375.53000             48816.44             19348.45
1375.54000             49512.27             19618.98
1375.55000             50227.83             19897.17
1375.56000             50963.96             20183.36
1375.57000             51721.58             20477.89
1375.58000             52501.62             20781.15
1375.59000             53305.11             21093.51
1375.60000             54133.11             21415.40
1375.61000             54986.77             21747.25
1375.62000             55867.29             22089.55
1375.63000             56775.96             22442.79
1375.64000             57714.15             22807.49
1375.65000             58683.33             23184.24
1375.66000             59685.06             23573.64
1375.67000             60721.00             23976.33
1375.68000             61792.94             24393.01
1375.69000             62902.77             24824.42
1375.70000             64052.56             25271.36
1375.71000             65244.50             25734.67
1375.72000             66480.94             26215.28
1375.73000             67764.42             26714.17
1375.74000             69097.69             27232.40
1375.75000             70483.69             27771.13
1375.76000             71925.62             28331.59
1375.77000             73426.93             28915.12
1375.78000             74991.36             29523.19
1375.79000             76622.98             30157.36
1375.80000             78326.21             30819.36
1375.81000             80105.87             31511.06
1375.82000             81967.22             32234.51
1375.83000             83916.02             32991.94
1375.84000             85958.58             33785.81
1375.85000             88101.83             34618.80
1375.86000             90353.40             35493.89
1375.87000             92721.72             36414.34
1375.88000             95216.10             37383.78
1375.89000             97846.89             38406.24
1375.90000            100625.59             39486.16
1375.91000            103565.02             40628.55
1375.92000            106679.56             41838.99
1375.93000            109985.32             43123.74
1375.94000            113500.48             44489.85
1375.95000            117245.58             45945.32
1375.96000            121243.93             47499.21
1375.97000            125522.13             49161.84
1375.98000            130110.61             50945.05
1375.99000            135044.41             52862.45
1376.00000            140364.01             54929.78
1376.01000            146116.53             57165.33
1376.02000            152357.03             59590.52
1376.03000            159150.36             62230.53
1376.04000            166573.37             65115.24
1376.05000            174717.88             68280.32
1376.06000            183694.43             71768.74
1376.07000            193637.39             75632.70
1376.08000            204711.70             79936.30
1376.09000            217122.08             84759.10
1376.10000            231125.84             90201.09
1376.11000            247050.89             96389.69
1376.12000            265321.72            103489.86
1376.13000            286497.85            111719.03
1376.14000            311332.09            121369.74
1376.15000            340861.91            132845.16
1376.16000            376558.08            146716.82
1376.17000            420577.22            163822.78
1376.18000            476214.31            185443.48
1376.19000            548768.03            213637.98
1376.20000            647336.88            251941.96
1376.21000            788969.40            306980.49
1376.22000           1009774.31            392785.40
1376.23000           1401889.83            545161.62
1376.24000           2291035.64            890683.81
1376.25000           6257691.44           2432126.38
1376.26000          -8567613.36           3328986.94
1376.27000          -2543998.18            988209.96
1376.28000          -1494127.52            580230.09
1376.29000          -1057828.05            410683.99
1376.30000           -818852.64            317818.02
1376.31000           -668024.94            259206.25
1376.32000           -564168.33            218847.45
1376.33000           -488297.33            189363.85
1376.34000           -430443.40            166881.68
1376.35000           -384869.92            149171.70
1376.36000           -348042.00            134860.25
1376.37000           -317662.63            123054.70
1376.38000           -292174.48            113149.88
1376.39000           -270484.29            104720.94
1376.40000           -251802.04             97460.90
1376.41000           -235542.62             91142.36
1376.42000           -221263.41             85593.33
1376.43000           -208623.44             80681.31
1376.44000           -197355.77             76302.57
1376.45000           -187248.42             72374.73
1376.46000           -178130.94             68831.55
1376.47000           -169864.71             65619.16
1376.48000           -162335.84             62693.32
1376.49000           -155449.88             60017.31
1376.50000           -149127.86             57560.44
1376.51000           -143303.22             55296.86
1376.52000           -137919.50             53204.62
1376.53000           -132928.46             51264.98
1376.54000           -128288.65             49461.82
1376.55000           -123964.26             47781.24
1376.56000           -119924.18             46211.14
1376.57000           -116141.27             44740.97
1376.58000           -112591.74             43361.50
1376.59000           -109254.63             42064.57
1376.60000           -106111.43             40843.00
1376.61000           -103145.72             39690.39
1376.62000           -100342.88             38601.08
1376.63000            -97689.86             37569.99
1376.64000            -95174.95             36592.57
1376.65000            -92787.64             35664.74
1376.66000            -90518.47             34782.81
1376.67000            -88358.88             33943.47
1376.68000            -86301.12             33143.70
1376.69000            -84338.15             32380.76
1376.70000            -82463.58             31652.18
1376.71000            -80671.56             30955.67
1376.72000            -78956.76             30289.17
1376.73000            -77314.29             29650.78
1376.74000            -75739.68             29038.76
1376.75000            -74228.80             28451.51
1376.76000            -72777.86             27887.55
1376.77000            -71383.37             27345.52
1376.78000            -70042.10             26824.18
1376.79000            -68751.05             26322.35
1376.80000            -67507.46             25838.96
1376.81000            -66308.75             25373.02
1376.82000            -65152.55             24923.59
1376.83000            -64036.63             24489.82
1376.84000            -62958.93             24070.90
1376.85000            -61917.50             23666.07
1376.86000            -60910.56             23274.65
1376.87000            -59936.42             22895.97
1376.88000            -58993.50             22529.43
1376.89000            -58080.33             22174.44
1376.90000            -57195.51             21830.47
1376.91000            -56337.76             21497.02
1376.92000            -55505.84             21173.61
1376.93000            -54698.61             20859.80
1376.94000            -53914.98             20555.15
1376.95000            -53153.94             20259.29
1376.96000            -52414.53             19971.82
1376.97000            -51695.82             19692.41
1376.98000            -50996.98             19420.71
1376.99000            -50317.18             19156.41
1377.00000            -49655.65             18899.22
1377.01000            -49011.68             18648.85
1377.02000            -48384.57             18405.02
1377.03000            -47773.67             18167.50
1377.04000            -47178.36             17936.03
1377.05000            -46598.04             17710.40
1377.06000            -46032.17             17490.37
1377.07000            -45480.20             17275.75
1377.08000            -44941.63             17066.34
1377.09000            -44415.99             16861.94
1377.10000            -43902.80             16662.39
1377.11000            -43401.64             16467.52
1377.12000            -42912.09             16277.15
1377.13000            -42433.74             16091.13
1377.14000            -41966.21             15909.33
1377.15000            -41509.16             15731.59
1377.16000            -41062.21             15557.78
1377.17000            -40625.06             15387.77
1377.18000            -40197.37             15221.45
1377.19000            -39778.84             15058.68
1377.20000            -39369.19             14899.36
1377.21000            -38968.13             14743.38
1377.22000            -38575.39             14590.64
1377.23000            -38190.73             14441.03
1377.24000            -37813.88             14294.46
1377.25000            -37444.63             14150.84
1377.26000            -37082.73             14010.08
1377.27000            -36727.98             13872.10
1377.28000            -36380.16             13736.81
1377.29000            -36039.08             13604.14
1377.30000            -35704.53             13474.01
1377.31000            -35376.34             13346.34
1377.32000            -35054.32             13221.08
1377.33000            -34738.30             13098.15
1377.34000            -34428.12             12977.49
1377.35000            -34123.61             12859.03
1377.36000            -33824.62             12742.71
1377.37000            -33531.01             12628.49
1377.38000            -33242.63             12516.30
1377.39000            -32959.33             12406.08
1377.40000            -32681.00             12297.79
1377.41000            -32407.49             12191.38
1377.42000            -32138.69             12086.80
1377.43000            -31874.47             11984.00
1377.44000            -31614.72             11882.93
1377.45000            -31359.32             11783.56
1377.46000            -31108.18             11685.83
1377.47000            -30861.17             11589.72
1377.48000            -30618.21             11495.18
1377.49000            -30379.18             11402.16
1377.50000            -30144.01             11310.65
1377.51000            -29912.59             11220.59
1377.52000            -29684.84             11131.96
1377.53000            -29460.66             11044.72
1377.54000            -29239.99             10958.84
1377.55000            -29022.73             10874.28
1377.56000            -28808.80             10791.02
1377.57000            -28598.14             10709.03
1377.58000            -28390.66             10628.28
1377.59000            -28186.30             10548.74
1377.60000            -27984.98             10470.38
1377.61000            -27786.64             10393.18
1377.62000            -27591.22             10317.11
1377.63000            -27398.64             10242.14
1377.64000            -27208.85             10168.26
1377.65000            -27021.79             10095.44
1377.66000            -26837.39             10023.66
1377.67000            -26655.61              9952.89
1377.68000            -26476.39              9883.12
1377.69000            -26299.67              9814.32
1377.70000            -26125.40              9746.47
1377.71000            -25953.53              9679.56
1377.72000            -25784.02              9613.56
1377.73000            -25616.81              9548.45
1377.74000            -25451.86              9484.22
1377.75000            -25289.11              9420.85
1377.76000            -25128.54              9358.33
1377.77000            -24970.10              9296.63
1377.78000            -24813.73              9235.74
1377.79000            -24659.41              9175.64
1377.80000            -24507.09              9116.32
1377.81000            -24356.74              9057.77
1377.82000            -24208.31              8999.96
1377.83000            -24061.78              8942.89
1377.84000            -23917.09              8886.54
1377.85000            -23774.23              8830.89
1377.86000            -23633.15              8775.94
1377.87000            -23493.83              8721.67
1377.88000            -23356.22              8668.07
1377.89000            -23220.30              8615.13
1377.90000            -23086.04              8562.83
1377.91000            -22953.41              8511.16
1377.92000            -22822.37              8460.11
1377.93000            -22692.90              8409.67
1377.94000            -22564.98              8359.83
1377.95000            -22438.57              8310.58
1377.96000            -22313.64              8261.91
1377.97000            -22190.18              8213.80
1377.98000            -22068.16              8166.25
1377.99000            -21947.54              8119.26
1378.00000            -21828.31              8072.80
1378.01000            -21710.45              8026.87
1378.02000            -21593.92              7981.46
1378.03000            -21478.72              7936.56
1378.04000            -21364.80              7892.16
1378.05000            -21252.16              7848.26
1378.06000            -21140.78              7804.85
1378.07000            -21030.62              7761.92
1378.08000            -20921.68              7719.45
1378.09000            -20813.93              7677.45
1378.10000            -20707.35              7635.91
1378.11000            -20601.92              7594.81
1378.12000            -20497.63              7554.16
1378.13000            -20394.45              7513.93
1378.14000            -20292.37              7474.14
1378.15000            -20191.38              7434.76
1378.16000            -20091.45              7395.80
1378.17000            -19992.56              7357.25
1378.18000            -19894.71              7319.09
1378.19000            -19797.87              7281.34
1378.20000            -19702.04              7243.97
1378.21000            -19607.18              7206.98
1378.22000            -19513.30              7170.37
1378.23000            -19420.37              7134.12
1378.24000            -19328.38              7098.25
1378.25000            -19237.32              7062.73
1378.26000            -19147.17              7027.57
1378.27000            -19057.91              6992.76
1378.28000            -18969.54              6958.29
1378.29000            -18882.05              6924.16
1378.30000            -18795.41              6890.37
1378.31000            -18709.62              6856.90
1378.32000            -18624.67              6823.76
1378.33000            -18540.54              6790.94
1378.34000            -18457.21              6758.43
1378.35000            -18374.69              6726.23
1378.36000            -18292.95              6694.34
1378.37000            -18211.99              6662.75
1378.38000            -18131.80              6631.46
1378.39000            -18052.36              6600.46
1378.40000            -17973.67              6569.75
1378.41000            -17895.71              6539.33
1378.42000            -17818.47              6509.19
1378.43000            -17741.94              6479.32
1378.44000            -17666.12              6449.73
1378.45000            -17591.00              6420.41
1378.46000            -17516.56              6391.35
1378.47000            -17442.79              6362.56
1378.48000            -17369.69              6334.02
1378.49000            -17297.25              6305.74
1378.50000            -17225.45              6277.71
1378.51000            -17154.30              6249.93
1378.52000            -17083.78              6222.40
1378.53000            -17013.88              6195.11
1378.54000            -16944.60              6168.06
1378.55000            -16875.92              6141.24
1378.56000            -16807.84              6114.66
1378.57000            -16740.35              6088.30
1378.58000            -16673.45              6062.18
1378.59000            -16607.12              6036.27
1378.60000            -16541.37              6010.59
1378.61000            -16476.17              5985.13
1378.62000            -16411.53              5959.88
1378.63000            -16347.43              5934.84
1378.64000            -16283.88              5910.01
1378.65000            -16220.86              5885.40
1378.66000            -16158.36              5860.98
1378.67000            -16096.39              5836.77
1378.68000            -16034.93              5812.76
1378.69000            -15973.98              5788.94
1378.70000            -15913.53              5765.32
1378.71000            -15853.58              5741.90
1378.72000            -15794.11              5718.66
1378.73000            -15735.13              5695.61
1378.74000            -15676.63              5672.75
1378.75000            -15618.60              5650.07
1378.76000            -15561.03              5627.57
1378.77000            -15503.92              5605.25
1378.78000            -15447.27              5583.10
1378.79000            -15391.07              5561.13
1378.80000            -15335.32              5539.34
1378.81000            -15280.00              5517.71
1378.82000            -15225.12              5496.26
1378.83000            -15170.67              5474.97
1378.84000            -15116.64              5453.84
1378.85000            -15063.03              5432.88
1378.86000            -15009.83              5412.08
1378.87000            -14957.05              5391.44
1378.88000            -14904.66              5370.95
1378.89000            -14852.68              5350.62
1378.90000            -14801.10              5330.45
1378.91000            -14749.90              5310.42
1378.92000            -14699.10              5290.55
1378.93000            -14648.67              5270.83
1378.94000            -14598.63              5251.25
1378.95000            -14548.95              5231.82
1378.96000            -14499.65              5212.53
1378.97000            -14450.72              5193.38
1378.98000            -14402.14              5174.38
1378.99000            -14353.92              5155.51
1379.00000            -14306.06              5136.78
1379.01000            -14258.55              5118.19
1379.02000            -14211.38              5099.73
1379.03000            -14164.56              5081.40
1379.04000            -14118.07              5063.21
1379.05000            -14071.92              5045.15
1379.06000            -14026.10              5027.21
1379.07000            -13980.61              5009.40
1379.08000            -13935.45              4991.72
1379.09000            -13890.60              4974.17
1379.10000            -13846.08              4956.73
1379.11000            -13801.86              4939.42
1379.12000            -13757.96              4922.23
1379.13000            -13714.37              4905.16
1379.14000            -13671.08              4888.21
1379.15000            -13628.09              4871.37
1379.16000            -13585.41              4854.66
1379.17000            -13543.01              4838.05
1379.18000            -13500.91              4821.56
1379.19000            -13459.10              4805.18
1379.20000            -13417.57              4788.92
1379.21000            -13376.33              4772.76
1379.22000            -13335.37              4756.71
1379.23000            -13294.69              4740.77
1379.24000            -13254.28              4724.94
1379.25000            -13214.14              4709.21
1379.26000            -13174.27              4693.59
1379.27000            -13134.67              4678.07
1379.28000            -13095.34              4662.65
1379.29000            -13056.26              4647.34
1379.30000            -13017.45              4632.13
1379.31000            -12978.89              4617.01
1379.32000            -12940.59              4602.00
1379.33000            -12902.53              4587.08
1379.34000            -12864.73              4572.26
1379.35000            -12827.17              4557.53
1379.36000            -12789.86              4542.90
1379.37000            -12752.78              4528.36
1379.38000            -12715.95              4513.92
1379.39000            -12679.36              4499.57
1379.40000            -12643.00              4485.31
1379.41000            -12606.87              4471.14
1379.42000            -12570.97              4457.06
1379.43000            -12535.30              4443.07
1379.44000            -12499.86              4429.16
1379.45000            -12464.64              4415.35
1379.46000            -12429.65              4401.62
1379.47000            -12394.87              4387.97
1379.48000            -12360.31              4374.41
1379.49000            -12325.97              4360.94
1379.50000            -12291.84              4347.54
1379.51000            -12257.93              4334.23
1379.52000            -12224.22              4321.00
1379.53000            -12190.72              4307.85
1379.54000            -12157.43              4294.79
1379.55000            -12124.34              4281.80
1379.56000            -12091.46              4268.89
1379.57000            -12058.77              4256.05
1379.58000            -12026.28              4243.30
1379.59000            -11994.00              4230.62
1379.60000            -11961.90              4218.02
1379.61000            -11930.00              4205.49
1379.62000            -11898.29              4193.04
1379.63000            -11866.77              4180.66
1379.64000            -11835.44              4168.35
1379.65000            -11804.30              4156.12
1379.66000            -11773.34              4143.95
1379.67000            -11742.56              4131.86
1379.68000            -11711.97              4119.84
1379.69000            -11681.56              4107.89
1379.70000            -11651.32              4096.01
1379.71000            -11621.26              4084.20
1379.72000            -11591.38              4072.46
1379.73000            -11561.67              4060.78
1379.74000            -11532.14              4049.17
1379.75000            -11502.77              4037.63
1379.76000            -11473.58              4026.15
