wavelength,polarizability,Uncertainty
1106.46,-1034.13,154.93
1106.47,-1035.45,155.14
1106.48,-1036.77,155.35
1106.49,-1038.1,155.56
1106.5,-1039.43,155.77
1106.51,-1040.76,155.98
1106.52,-1042.1,156.2
1106.53,-1043.44,156.41
1106.54,-1044.79,156.63
1106.55,-1046.14,156.85
1106.56,-1047.5,157.06
1106.57,-1048.86,157.28
1106.58,-1050.22,157.5
1106.59,-1051.59,157.72
1106.6,-1052.97,157.94
1106.61,-1054.35,158.16
1106.62,-1055.73,158.39
1106.63,-1057.12,158.61
1106.64,-1058.51,158.84
1106.65,-1059.9,159.06
1106.66,-1061.31,159.29
1106.67,-1062.71,159.52
1106.68,-1064.12,159.74
1106.69,-1065.54,159.97
1106.7,-1066.96,160.2
1106.71,-1068.38,160.43
1106.72,-1069.81,160.67
1106.73,-1071.25,160.9
1106.74,-1072.69,161.13
1106.75,-1074.13,161.37
1106.76,-1075.58,161.6
1106.77,-1077.03,161.84
1106.78,-1078.49,162.08
1106.79,-1079.96,162.32
1106.8,-1081.42,162.56
1106.81,-1082.9,162.8
1106.82,-1084.38,163.04
1106.83,-1085.86,163.28
1106.84,-1087.35,163.53
1106.85,-1088.85,163.77
1106.86,-1090.35,164.02
1106.87,-1091.85,164.27
1106.88,-1093.36,164.52
1106.89,-1094.88,164.76
1106.9,-1096.4,165.01
1106.91,-1097.92,165.27
1106.92,-1099.45,165.52
1106.93,-1100.99,165.77
1106.94,-1102.53,166.03
1106.95,-1104.08,166.28
1106.96,-1105.63,166.54
1106.97,-1107.19,166.8
1106.98,-1108.76,167.06
1106.99,-1110.33,167.32
1107,-1111.9,167.58
1107.01,-1113.48,167.84
1107.02,-1115.07,168.1
1107.03,-1116.66,168.37
1107.04,-1118.26,168.63
1107.05,-1119.87,168.9
1107.06,-1121.48,169.17
1107.07,-1123.09,169.44
1107.08,-1124.71,169.71
1107.09,-1126.34,169.98
1107.1,-1127.98,170.25
1107.11,-1129.62,170.53
1107.12,-1131.26,170.8
1107.13,-1132.91,171.08
1107.14,-1134.57,171.35
1107.15,-1136.24,171.63
1107.16,-1137.91,171.91
1107.17,-1139.58,172.19
1107.18,-1141.26,172.48
1107.19,-1142.95,172.76
1107.2,-1144.65,173.05
1107.21,-1146.35,173.33
1107.22,-1148.06,173.62
1107.23,-1149.77,173.91
1107.24,-1151.5,174.2
1107.25,-1153.22,174.49
1107.26,-1154.96,174.78
1107.27,-1156.7,175.08
1107.28,-1158.45,175.37
1107.29,-1160.2,175.67
1107.3,-1161.96,175.97
1107.31,-1163.73,176.27
1107.32,-1165.5,176.57
1107.33,-1167.28,176.87
1107.34,-1169.07,177.17
1107.35,-1170.87,177.48
1107.36,-1172.67,177.78
1107.37,-1174.48,178.09
1107.38,-1176.3,178.4
1107.39,-1178.12,178.71
1107.4,-1179.95,179.02
1107.41,-1181.79,179.34
1107.42,-1183.63,179.65
1107.43,-1185.49,179.97
1107.44,-1187.35,180.28
1107.45,-1189.21,180.6
1107.46,-1191.09,180.92
1107.47,-1192.97,181.25
1107.48,-1194.86,181.57
1107.49,-1196.76,181.9
1107.5,-1198.66,182.22
1107.51,-1200.58,182.55
1107.52,-1202.5,182.88
1107.53,-1204.43,183.21
1107.54,-1206.36,183.54
1107.55,-1208.31,183.88
1107.56,-1210.26,184.21
1107.57,-1212.22,184.55
1107.58,-1214.19,184.89
1107.59,-1216.16,185.23
1107.6,-1218.15,185.57
1107.61,-1220.14,185.92
1107.62,-1222.14,186.26
1107.63,-1224.15,186.61
1107.64,-1226.17,186.96
1107.65,-1228.19,187.31
1107.66,-1230.23,187.66
1107.67,-1232.27,188.02
1107.68,-1234.32,188.37
1107.69,-1236.38,188.73
1107.7,-1238.45,189.09
1107.71,-1240.53,189.45
1107.72,-1242.62,189.82
1107.73,-1244.71,190.18
1107.74,-1246.82,190.55
1107.75,-1248.93,190.91
1107.76,-1251.06,191.28
1107.77,-1253.19,191.66
1107.78,-1255.33,192.03
1107.79,-1257.48,192.41
1107.8,-1259.64,192.78
1107.81,-1261.81,193.16
1107.82,-1263.99,193.54
1107.83,-1266.17,193.93
1107.84,-1268.37,194.31
1107.85,-1270.58,194.7
1107.86,-1272.8,195.09
1107.87,-1275.02,195.48
1107.88,-1277.26,195.87
1107.89,-1279.51,196.27
1107.9,-1281.77,196.66
1107.91,-1284.03,197.06
1107.92,-1286.31,197.46
1107.93,-1288.6,197.87
1107.94,-1290.9,198.27
1107.95,-1293.2,198.68
1107.96,-1295.52,199.09
1107.97,-1297.85,199.5
1107.98,-1300.19,199.91
1107.99,-1302.54,200.33
1108,-1304.9,200.74
1108.01,-1307.28,201.16
1108.02,-1309.66,201.58
1108.03,-1312.05,202.01
1108.04,-1314.46,202.44
1108.05,-1316.87,202.86
1108.06,-1319.3,203.29
1108.07,-1321.74,203.73
1108.08,-1324.19,204.16
1108.09,-1326.65,204.6
1108.1,-1329.12,205.04
1108.11,-1331.61,205.48
1108.12,-1334.11,205.93
1108.13,-1336.62,206.37
1108.14,-1339.14,206.82
1108.15,-1341.67,207.27
1108.16,-1344.21,207.73
1108.17,-1346.77,208.19
1108.18,-1349.34,208.64
1108.19,-1351.92,209.11
1108.2,-1354.51,209.57
1108.21,-1357.12,210.04
1108.22,-1359.74,210.51
1108.23,-1362.37,210.98
1108.24,-1365.02,211.45
1108.25,-1367.67,211.93
1108.26,-1370.35,212.41
1108.27,-1373.03,212.89
1108.28,-1375.73,213.37
1108.29,-1378.44,213.86
1108.3,-1381.16,214.35
1108.31,-1383.9,214.84
1108.32,-1386.65,215.34
1108.33,-1389.42,215.84
1108.34,-1392.2,216.34
1108.35,-1394.99,216.84
1108.36,-1397.8,217.35
1108.37,-1400.62,217.86
1108.38,-1403.45,218.37
1108.39,-1406.3,218.88
1108.4,-1409.17,219.4
1108.41,-1412.05,219.92
1108.42,-1414.94,220.45
